BINARY_LENGTH,id_distribution,TOTAL_TAGS,ber,enable_refined_energy_model,enable_resource_monitoring,experiment_name,point_seed,algorithm_seed,total_protocol_time_us,total_reader_bits,total_tag_bits,total_steps,total_listening_energy_uj,total_transmission_energy_uj,total_energy_uj,identified_tags_count,success_slots,idle_slots,collision_slots,progressive_probe_count,signature_grouping_trigger_count,local_short_id_trigger_count,signature_groups_pruned,sparse_signature_groups,signature_marker_bits,signature_marker_tag_bits,signature_non_idle_marker_count,signature_collision_groups,signature_singleton_groups,low_d_fallback_count,suffix_signature_trigger_count,hash_short_id_round_count,hash_short_id_split_count,hash_short_id_collision_groups,hash_short_id_singleton_groups,max_signature_d,epc_verification_count,verify_fail_count,avg_tag_responses,small_cluster_guard_count,throughput_tags_per_sec,algorithm_name,run_id,peak_stack_depth,ovg_trigger_count,hbmt_ovg_trigger_count,fallback_invocation_count,prefix_stagnation_trigger_count,prefix_stag_score_trigger_count,repeated_pattern_trigger_count,ovg_rehash_count,ovg_width_up_count,ovg_width_down_count,ovg_no_singleton_count,ovg_success_count,post_ovg_singleton_count,ovg_fallback_avoid_count,inspect_collision_count,fcw_cache_created_count,fcw_cache_hit_count,fcw_cache_hit_ratio,fcw_fast_path_count,fcw_width_up_count,fcw_width_down_count,adaptive_cbit_r4_count,multibit_fallback_count,mode_lock1_count,mode_lock2_count,mode_cbit_count,mode_pivot_count,mode_ovg_count,mode_fallback_count,fallback_invocation_ratio,min_tag_responses,max_tag_responses,drct_query_count,drct_r0_collision_count,drct_r1_collision_count,drct_r1_sedepth_increment_count,check_answer_alias_count,drct_random_check_count,drct_unresolved_stack_empty_count,peak_unidentified_tags_count,total_slots,system_efficiency,avg_tag_bits,avg_reader_bits,total_bits,avg_total_bits,avg_query_efficiency,total_protocol_time_ms,signature_grouping_trigger_count.1,sparse_signature_groups.1,signature_groups_pruned.1,signature_marker_tag_bits.1,signature_collision_groups.1,signature_singleton_groups.1,max_signature_d.1,total_reader_tx_energy_uj,total_tag_tx_energy_uj,energy_per_tag_uj,channel_use_ratio
96,random,6000,0.000000,True,True,formal_main_scalability_uniform,3602763826,967681520,8116755.000000,143792.000000,865760.000000,11582,2421563.134250,720.464000,2422283.598250,6000,6000,2303,3279,,,,,,,,,,,,,,,,,,,,5.086333,,739.211668,EMDT,9,47.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11582,0.518045,144.293333,23.965333,1009552.000000,168.258667,1.829826,8116.755000,,,,,,,,,,,
96,random,7000,0.000000,True,True,formal_main_scalability_uniform,2742235446,1634282532,9574055.000000,165836.000000,1013200.000000,13970,3333412.542750,838.272000,3334250.814750,7000,7000,2966,4004,,,,,,,,,,,,,,,,,,,,5.176429,,731.142656,EMDT,9,43.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13970,0.501074,144.742857,23.690857,1179036.000000,168.433714,1.748252,9574.055000,,,,,,,,,,,
96,random,8000,0.000000,True,True,formal_main_scalability_uniform,3608150045,2495745313,10929487.500000,187594.000000,1162032.000000,16057,4360837.284250,956.204000,4361793.488250,8000,8000,3432,4625,,,,,,,,,,,,,,,,,,,,5.209500,,731.964788,EMDT,9,44.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16057,0.498225,145.254000,23.449250,1349626.000000,168.703250,1.729730,10929.487500,,,,,,,,,,,
96,random,9000,0.000000,True,True,formal_main_scalability_uniform,3296190933,2402036892,12418340.000000,216744.000000,1318064.000000,18136,5568371.808000,1092.520000,5569464.328000,9000,9000,3719,5417,,,,,,,,,,,,,,,,,,,,5.304889,,724.734546,EMDT,9,48.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18136,0.496251,146.451556,24.082667,1534808.000000,170.534222,1.661436,12418.340000,,,,,,,,,,,
96,random,10000,0.000000,True,True,formal_main_scalability_uniform,98398546,3641932711,13535235.000000,244310.000000,1481136.000000,19568,6745086.934250,1229.188000,6746316.122250,10000,10000,3765,5803,,,,,,,,,,,,,,,,,,,,5.290900,,738.812440,EMDT,9,47.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19568,0.511038,148.113600,24.431000,1725446.000000,172.544600,1.723247,13535.235000,,,,,,,,,,,
96,random,1000,0.000000,True,True,formal_main_scalability_uniform,1651922262,1447446387,1318872.500000,28930.000000,141072.000000,1723,68336.041750,128.396000,68464.437750,1000,1000,185,538,,,,,,,,,,,,,,,,,,,,4.533000,,758.223407,EMDT,10,34.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1723,0.580383,141.072000,28.930000,170002.000000,170.002000,1.858736,1318.872500,,,,,,,,,,,
96,random,2000,0.000000,True,True,formal_main_scalability_uniform,804093800,3638609771,2697612.500000,58036.000000,288000.000000,3433,269013.157250,260.072000,269273.229250,2000,2000,378,1055,,,,,,,,,,,,,,,,,,,,4.825500,,741.396327,EMDT,10,41.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3433,0.582581,144.000000,29.018000,346036.000000,173.018000,1.895735,2697.612500,,,,,,,,,,,
96,random,3000,0.000000,True,True,formal_main_scalability_uniform,790116273,3761851328,4297547.500000,86526.000000,432000.000000,5597,643679.159750,389.052000,644068.211750,3000,3000,754,1843,,,,,,,,,,,,,,,,,,,,5.122667,,698.072563,EMDT,10,40.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5597,0.536001,144.000000,28.842000,518526.000000,172.842000,1.627781,4297.547500,,,,,,,,,,,
96,random,4000,0.000000,True,True,formal_main_scalability_uniform,2599053468,1253409012,5641052.500000,108856.000000,576224.000000,7557,1135105.605750,505.824000,1135611.429750,4000,4000,1190,2367,,,,,,,,,,,,,,,,,,,,5.134250,,709.087533,EMDT,10,40.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7557,0.529311,144.056000,27.214000,685080.000000,171.270000,1.689903,5641.052500,,,,,,,,,,,
96,random,5000,0.000000,True,True,formal_main_scalability_uniform,536693276,2080736261,7033422.500000,129162.000000,720272.000000,9751,1751291.454000,618.460000,1751909.914000,5000,5000,1768,2983,,,,,,,,,,,,,,,,,,,,5.179400,,710.891461,EMDT,10,43.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9751,0.512768,144.054400,25.832400,849434.000000,169.886800,1.676165,7033.422500,,,,,,,,,,,
96,random,6000,0.000000,True,True,formal_main_scalability_uniform,4232955816,3496948262,8176430.000000,143286.000000,864448.000000,11654,2467063.204000,718.796000,2467782.000000,6000,6000,2300,3354,,,,,,,,,,,,,,,,,,,,5.122000,,733.816592,EMDT,10,42.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11654,0.514845,144.074667,23.881000,1007734.000000,167.955667,1.788909,8176.430000,,,,,,,,,,,
96,random,7000,0.000000,True,True,formal_main_scalability_uniform,4166587760,237172921,9522115.000000,163680.000000,1011808.000000,13878,3323534.228500,833.264000,3324367.492500,7000,7000,2926,3952,,,,,,,,,,,,,,,,,,,,5.157429,,735.130798,EMDT,10,47.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13878,0.504395,144.544000,23.382857,1175488.000000,167.926857,1.771255,9522.115000,,,,,,,,,,,
96,random,8000,0.000000,True,True,formal_main_scalability_uniform,1630753200,2469511525,10856417.500000,187176.000000,1163568.000000,15887,4309077.549750,956.136000,4310033.685750,8000,8000,3343,4544,,,,,,,,,,,,,,,,,,,,5.192250,,736.891336,EMDT,10,45.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15887,0.503556,145.446000,23.397000,1350744.000000,168.843000,1.760563,10856.417500,,,,,,,,,,,
96,random,9000,0.000000,True,True,formal_main_scalability_uniform,1534083998,967118842,12408477.500000,215666.000000,1316816.000000,18269,5551856.370500,1089.740000,5552946.110500,9000,9000,3887,5382,,,,,,,,,,,,,,,,,,,,5.279444,,725.310579,EMDT,10,44.000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18269,0.492638,146.312889,23.962889,1532482.000000,170.275778,1.672241,12408.477500,,,,,,,,,,,
