TOTAL_TAGS,HLCT-Base
1000,382.2000
2000,766.1400
3000,1170.6400
4000,1572.1000
5000,1963.5400
6000,2346.0800
7000,2734.9000
8000,3115.1000
9000,3490.9400
10000,3865.9800
