TOTAL_TAGS,SGCT
1000,1990.1200
2000,4055.7600
3000,6131.7200
4000,8237.5600
5000,10372.8800
6000,12531.4400
7000,14707.8600
8000,16918.3000
9000,19156.5800
10000,21419.8400
