experiment_name,algorithm_name,run_id,point_seed,algorithm_seed,TOTAL_TAGS
formal_main_scalability_uniform,DQTA(k_max=3),7,187697319,1298474751,2000
formal_main_scalability_uniform,DQTA(k_max=3),7,4021506872,2241508892,3000
formal_main_scalability_uniform,DQTA(k_max=3),7,592348628,2877653587,4000
formal_main_scalability_uniform,DQTA(k_max=3),7,164659966,482969526,5000
formal_main_scalability_uniform,DQTA(k_max=3),7,1544274453,2090388154,6000
formal_main_scalability_uniform,DQTA(k_max=3),7,1060776257,3154688760,7000
formal_main_scalability_uniform,DQTA(k_max=3),7,2642284207,1050625116,8000
formal_main_scalability_uniform,DQTA(k_max=3),7,3620201211,1117640296,9000
formal_main_scalability_uniform,DQTA(k_max=3),7,880328218,1692889801,10000
formal_main_scalability_uniform,DQTA(k_max=3),8,2106122468,1204393272,1000
formal_main_scalability_uniform,DQTA(k_max=3),8,371226784,2489543045,2000
formal_main_scalability_uniform,DQTA(k_max=3),8,2413251070,2827266700,3000
formal_main_scalability_uniform,DQTA(k_max=3),8,2271571714,3515765782,4000
formal_main_scalability_uniform,DQTA(k_max=3),8,1352238158,3395145596,5000
formal_main_scalability_uniform,DQTA(k_max=3),8,3173959220,127758881,6000
formal_main_scalability_uniform,DQTA(k_max=3),8,1420306198,3449696982,7000
formal_main_scalability_uniform,DQTA(k_max=3),8,2386803427,1040256613,8000
formal_main_scalability_uniform,DQTA(k_max=3),8,3791444769,3250985958,9000
formal_main_scalability_uniform,DQTA(k_max=3),8,197589039,1468094625,10000
formal_main_scalability_uniform,DQTA(k_max=3),9,2688084908,3244932204,1000
formal_main_scalability_uniform,DQTA(k_max=3),9,3708358501,3392994121,2000
formal_main_scalability_uniform,DQTA(k_max=3),9,1967889365,1913466014,3000
formal_main_scalability_uniform,DQTA(k_max=3),9,4221586909,2779718945,4000
formal_main_scalability_uniform,DQTA(k_max=3),9,3105034790,2367986690,5000
formal_main_scalability_uniform,DQTA(k_max=3),9,3602763826,452259976,6000
formal_main_scalability_uniform,DQTA(k_max=3),9,2742235446,1210582505,7000
formal_main_scalability_uniform,DQTA(k_max=3),9,3608150045,3210054063,8000
formal_main_scalability_uniform,DQTA(k_max=3),9,3296190933,3371957000,9000
formal_main_scalability_uniform,DQTA(k_max=3),9,98398546,2813508578,10000
formal_main_scalability_uniform,DQTA(k_max=3),10,1651922262,3550492489,1000
formal_main_scalability_uniform,DQTA(k_max=3),10,804093800,3681474634,2000
formal_main_scalability_uniform,DQTA(k_max=3),10,790116273,3632073507,3000
formal_main_scalability_uniform,DQTA(k_max=3),10,2599053468,580553564,4000
formal_main_scalability_uniform,DQTA(k_max=3),10,536693276,4242707493,5000
formal_main_scalability_uniform,DQTA(k_max=3),10,4232955816,3879450207,6000
formal_main_scalability_uniform,DQTA(k_max=3),10,4166587760,2506694026,7000
formal_main_scalability_uniform,DQTA(k_max=3),10,1630753200,728114682,8000
formal_main_scalability_uniform,DQTA(k_max=3),10,1534083998,2004765832,9000
formal_main_scalability_uniform,DQTA(k_max=3),10,3323022418,1911057374,10000
formal_main_scalability_uniform,DQTA(k_max=3),11,2744797527,269558465,1000
formal_main_scalability_uniform,DQTA(k_max=3),11,4238865757,3641857004,2000
formal_main_scalability_uniform,DQTA(k_max=3),11,1953686223,1376620463,3000
formal_main_scalability_uniform,DQTA(k_max=3),11,1651562055,2647935648,4000
formal_main_scalability_uniform,DQTA(k_max=3),11,1397291536,2193927666,5000
formal_main_scalability_uniform,DQTA(k_max=3),11,818305541,128183098,6000
formal_main_scalability_uniform,DQTA(k_max=3),11,1274320143,2740224708,7000
formal_main_scalability_uniform,DQTA(k_max=3),11,3619355516,1256523609,8000
formal_main_scalability_uniform,DQTA(k_max=3),11,3938710517,605508985,9000
formal_main_scalability_uniform,DQTA(k_max=3),11,1684932225,2197617902,10000
formal_main_scalability_uniform,DQTA(k_max=3),12,2477178442,2251832108,1000
formal_main_scalability_uniform,DQTA(k_max=3),12,1455571856,4143913572,2000
formal_main_scalability_uniform,DQTA(k_max=3),12,4150409384,136008823,3000
formal_main_scalability_uniform,DQTA(k_max=3),12,128745838,1730934203,4000
formal_main_scalability_uniform,DQTA(k_max=3),12,12233841,2603666240,5000
formal_main_scalability_uniform,DQTA(k_max=3),12,1687577413,490250085,6000
formal_main_scalability_uniform,DQTA(k_max=3),12,822195815,3248269175,7000
formal_main_scalability_uniform,DQTA(k_max=3),12,3816083121,1693446024,8000
formal_main_scalability_uniform,DQTA(k_max=3),12,1269846629,372482752,9000
formal_main_scalability_uniform,DQTA(k_max=3),12,4254308589,2538366951,10000
