TOTAL_TAGS,SGCT
1000,1000.0000
2000,2000.0000
3000,3000.0000
4000,4000.0000
5000,5000.0000
6000,6000.0000
7000,7000.0000
8000,8000.0000
9000,9000.0000
10000,10000.0000
