TOTAL_TAGS,SGCT
1000,58373.7000
2000,63724.4000
3000,63508.0000
4000,63299.1000
5000,63296.0000
6000,63458.5000
7000,63751.8000
8000,64281.8000
9000,65010.4000
10000,65926.5000
