TOTAL_TAGS,candidate,baseline,metric,candidate_mean,baseline_mean,mean_improvement,mean_improvement_pct,paired_t_stat,paired_t_p_value_normal_approx,cohens_d,win_rate,n
6000,SGCT,DQTA(k_max=3),total_protocol_time_ms,6836.387700,9702.174900,2865.787200,29.537575,519.982990,0.000000,73.536700,1.000000,50
6000,SGCT,EMDT,total_protocol_time_ms,6836.387700,8298.640400,1462.252700,17.620389,136.099350,0.000000,19.247355,1.000000,50
6000,SGCT,NLHQT(n=2),total_protocol_time_ms,6836.387700,11009.690800,4173.303100,37.905725,947.655002,0.000000,134.018656,1.000000,50
6000,SGCT,EAQ_CBB,total_protocol_time_ms,6836.387700,13424.466250,6588.078550,49.075162,1079.506723,0.000000,152.665305,1.000000,50
6000,SGCT,HT_EEAC,total_protocol_time_ms,6836.387700,41137.750950,34301.363250,83.381717,234.899009,0.000000,33.219736,1.000000,50
7000,SGCT,DRCT,total_protocol_time_ms,7901.119650,10607.194050,2706.074400,25.511689,599.217065,0.000000,84.742090,1.000000,50
7000,SGCT,LAPCT,total_protocol_time_ms,7901.119650,18114.623750,10213.504100,56.382646,2289.567755,0.000000,323.793777,1.000000,50
7000,SGCT,DQTA(k_max=3),total_protocol_time_ms,7901.119650,11403.871775,3502.752125,30.715464,465.412287,0.000000,65.819237,1.000000,50
7000,SGCT,EMDT,total_protocol_time_ms,7901.119650,9607.430400,1706.310750,17.760324,138.771208,0.000000,19.625212,1.000000,50
7000,SGCT,NLHQT(n=2),total_protocol_time_ms,7901.119650,12862.718950,4961.599300,38.573488,1347.274165,0.000000,190.533340,1.000000,50
7000,SGCT,EAQ_CBB,total_protocol_time_ms,7901.119650,15664.131125,7763.011475,49.559158,1126.412202,0.000000,159.298741,1.000000,50
7000,SGCT,HT_EEAC,total_protocol_time_ms,7901.119650,50128.599000,42227.479350,84.238299,193.719684,0.000000,27.396100,1.000000,50
8000,SGCT,DRCT,total_protocol_time_ms,8994.692775,12152.709025,3158.016250,25.986109,573.760079,0.000000,81.141929,1.000000,50
8000,SGCT,LAPCT,total_protocol_time_ms,8994.692775,20712.116625,11717.423850,56.572798,2301.665524,0.000000,325.504660,1.000000,50
8000,SGCT,DQTA(k_max=3),total_protocol_time_ms,8994.692775,13065.178350,4070.485575,31.155224,589.691758,0.000000,83.395008,1.000000,50
8000,SGCT,EMDT,total_protocol_time_ms,8994.692775,10979.913900,1985.221125,18.080480,131.275791,0.000000,18.565200,1.000000,50
8000,SGCT,NLHQT(n=2),total_protocol_time_ms,8994.692775,14717.107050,5722.414275,38.882739,1436.132646,0.000000,203.099827,1.000000,50
8000,SGCT,EAQ_CBB,total_protocol_time_ms,8994.692775,17908.630925,8913.938150,49.774537,1067.025884,0.000000,150.900248,1.000000,50
8000,SGCT,HT_EEAC,total_protocol_time_ms,8994.692775,58559.861850,49565.169075,84.640174,244.296768,0.000000,34.548780,1.000000,50
9000,SGCT,DRCT,total_protocol_time_ms,10112.119225,13697.868775,3585.749550,26.177427,579.340971,0.000000,81.931186,1.000000,50
9000,SGCT,LAPCT,total_protocol_time_ms,10112.119225,23310.803625,13198.684400,56.620461,2644.456080,0.000000,373.982565,1.000000,50
9000,SGCT,DQTA(k_max=3),total_protocol_time_ms,10112.119225,14738.663775,4626.544550,31.390529,533.271887,0.000000,75.416033,1.000000,50
9000,SGCT,EMDT,total_protocol_time_ms,10112.119225,12342.475550,2230.356325,18.070575,143.677963,0.000000,20.319132,1.000000,50
9000,SGCT,NLHQT(n=2),total_protocol_time_ms,10112.119225,16583.934200,6471.814975,39.024606,1254.826361,0.000000,177.459246,1.000000,50
9000,SGCT,EAQ_CBB,total_protocol_time_ms,10112.119225,20130.593775,10018.474550,49.767407,1121.153749,0.000000,158.555084,1.000000,50
9000,SGCT,HT_EEAC,total_protocol_time_ms,10112.119225,68564.395800,58452.276575,85.251647,369.158061,0.000000,52.206834,1.000000,50
10000,SGCT,DRCT,total_protocol_time_ms,11252.544925,15239.564850,3987.019925,26.162295,565.165744,0.000000,79.926506,1.000000,50
10000,SGCT,LAPCT,total_protocol_time_ms,11252.544925,25910.408275,14657.863350,56.571333,2119.988285,0.000000,299.811619,1.000000,50
10000,SGCT,DQTA(k_max=3),total_protocol_time_ms,11252.544925,16385.187100,5132.642175,31.324892,607.983147,0.000000,85.981801,1.000000,50
10000,SGCT,EMDT,total_protocol_time_ms,11252.544925,13678.949500,2426.404575,17.738238,134.749116,0.000000,19.056403,1.000000,50
10000,SGCT,NLHQT(n=2),total_protocol_time_ms,11252.544925,18445.696500,7193.151575,38.996367,1254.911597,0.000000,177.471300,1.000000,50
10000,SGCT,EAQ_CBB,total_protocol_time_ms,11252.544925,22376.943925,11124.399000,49.713665,1177.628222,0.000000,166.541780,1.000000,50
10000,SGCT,HT_EEAC,total_protocol_time_ms,11252.544925,79335.595050,68083.050125,85.816524,330.346581,0.000000,46.718062,1.000000,50
